p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-1079.094,-1106.2676,671.2119,-1130.0045,20.647583,1582.3285,468.7164,-463.77243
-1074.0881,-1106.2635,666.2157,-1129.9978,16.258255,1584.7292,463.71814,-463.76837
-1069.0823,-1106.2595,661.2195,-1129.9911,11.868927,1587.13,458.71988,-463.7643
-1064.0764,-1106.2555,656.22327,-1129.9844,7.4795995,1589.5308,453.72162,-463.76025
-1059.0706,-1106.2515,651.22705,-1129.9777,3.090272,1591.9315,448.72336,-463.7562
-1054.0647,-1106.2474,646.23083,-1129.971,-1.2990556,1594.3323,443.7251,-463.75214
-1049.0588,-1106.2434,641.2346,-1129.9642,-5.688383,1596.733,438.72684,-463.74808
-1044.053,-1106.2394,636.2384,-1129.9575,-10.077711,1599.1338,433.72858,-463.74402
-1039.0471,-1106.2354,631.2422,-1129.9508,-14.467039,1601.5345,428.73032,-463.73996
-1034.0413,-1106.2313,626.246,-1129.9441,-18.856367,1603.9353,423.73206,-463.7359
-1029.0354,-1106.2273,621.24976,-1129.9374,-23.245695,1606.336,418.7338,-463.73184
-1024.0295,-1106.2233,616.25354,-1129.9307,-27.635023,1608.7368,413.73553,-463.72778
-1019.0237,-1106.2192,611.2573,-1129.924,-32.02435,1611.1376,408.73727,-463.72372
-1014.0178,-1106.2152,606.2611,-1129.9172,-36.413677,1613.5383,403.739,-463.71967
-1009.01196,-1106.2112,601.2649,-1129.9105,-40.803005,1615.9391,398.74075,-463.7156
-1004.0061,-1106.2072,596.2687,-1129.9038,-45.192333,1618.3398,393.7425,-463.71155
-999.00024,-1106.2031,591.27246,-1129.8971,-49.58166,1620.7406,388.74423,-463.7075
-993.9944,-1106.1991,586.27625,-1129.8904,-53.97099,1623.1414,383.74597,-463.70343
-988.9885,-1106.1951,581.28,-1129.8837,-58.360317,1625.5421,378.7477,-463.69937
-983.98267,-1106.191,576.2838,-1129.877,-62.749645,1627.9429,373.74945,-463.6953
-978.9768,-1106.187,571.2876,-1129.8702,-67.13897,1630.3436,368.7512,-463.69125
-973.97095,-1106.183,566.2914,-1129.8635,-71.5283,1632.7444,363.75293,-463.6872
-968.9651,-1106.179,561.29517,-1129.8568,-75.917625,1635.1451,358.75467,-463.68314
-963.9592,-1106.1749,556.29895,-1129.8501,-80.30695,1637.5459,353.7564,-463.67908
-958.95337,-1106.1709,551.30273,-1129.8434,-84.69628,1639.9467,348.75815,-463.67502
-953.9475,-1106.1669,546.3065,-1129.8367,-89.08561,1642.3474,343.7599,-463.67096
-948.94165,-1106.1628,541.3103,-1129.83,-93.47494,1644.7482,338.76163,-463.6669
-943.9358,-1106.1588,536.3141,-1129.8232,-97.864265,1647.1489,333.76337,-463.66284
-938.92993,-1106.1548,531.3179,-1129.8165,-102.25359,1649.5497,328.7651,-463.65878
-933.9241,-1106.1508,526.32166,-1129.8098,-106.64292,1651.9504,323.76685,-463.65472
-928.9182,-1106.1467,521.32544,-1129.8031,-111.03225,1654.3512,318.7686,-463.65067
-923.91235,-1106.1427,516.3292,-1129.7964,-115.42158,1656.752,313.77032,-463.6466
-918.9065,-1106.1387,511.33298,-1129.7897,-119.810905,1659.1527,308.77206,-463.64255
-913.90063,-1106.1346,506.33673,-1129.783,-124.20023,1661.5535,303.7738,-463.6385
