p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1065.6053,271.5519,56.32425,269.75446,-792.12115,468.79486,1119.4214,956.8775
1070.6091,271.55896,61.328896,269.76263,-787.12024,468.7974,1124.4302,956.8785
1075.6129,271.566,66.33354,269.7708,-782.1193,468.79993,1129.439,956.87946
1080.6167,271.57306,71.33819,269.779,-777.1184,468.80246,1134.4478,956.88043
1085.6205,271.5801,76.342834,269.78717,-772.1175,468.805,1139.4565,956.8814
1090.6243,271.58716,81.34748,269.79535,-767.1166,468.80753,1144.4653,956.8824
1095.628,271.5942,86.35213,269.80353,-762.11566,468.81006,1149.4741,956.88336
1100.6318,271.60126,91.35677,269.8117,-757.11475,468.8126,1154.4829,956.88434
1105.6356,271.6083,96.36142,269.8199,-752.11383,468.81512,1159.4917,956.8853
1110.6394,271.61536,101.366066,269.82806,-747.1129,468.81766,1164.5005,956.8863
1115.6432,271.6224,106.37071,269.83624,-742.112,468.8202,1169.5093,956.88727
1120.647,271.62946,111.37536,269.84442,-737.1111,468.82272,1174.5181,956.88824
1125.6508,271.6365,116.380005,269.8526,-732.11017,468.82526,1179.5269,956.8892
1130.6545,271.64355,121.38465,269.86078,-727.10925,468.8278,1184.5356,956.8902
1135.6583,271.6506,126.3893,269.86896,-722.10834,468.83032,1189.5444,956.8912
1140.6621,271.65765,131.39394,269.87714,-717.1074,468.83286,1194.5532,956.89215
1145.6659,271.6647,136.39857,269.8853,-712.1065,468.8354,1199.562,956.8931
1150.6697,271.67175,141.40321,269.8935,-707.1056,468.83792,1204.5708,956.8941
1155.6735,271.6788,146.40785,269.90167,-702.1047,468.84045,1209.5796,956.8951
1160.6772,271.68585,151.41249,269.90985,-697.10376,468.843,1214.5884,956.89606
1165.681,271.6929,156.41713,269.91803,-692.10284,468.84552,1219.5972,956.89703
1170.6848,271.69995,161.42177,269.9262,-687.1019,468.84805,1224.606,956.898
1175.6886,271.707,166.4264,269.9344,-682.101,468.8506,1229.6147,956.899
1180.6924,271.71405,171.43105,269.94257,-677.1001,468.85312,1234.6235,956.89996
1185.6962,271.7211,176.43568,269.95074,-672.0992,468.85565,1239.6323,956.90094
1190.7,271.72815,181.44032,269.95892,-667.09827,468.8582,1244.6411,956.9019
1195.7037,271.7352,186.44496,269.9671,-662.09735,468.86072,1249.6499,956.9029
1200.7075,271.74225,191.4496,269.97528,-657.09644,468.86325,1254.6587,956.9039
1205.7113,271.7493,196.45424,269.98346,-652.0955,468.86578,1259.6675,956.90485
1210.7151,271.75635,201.45888,269.99164,-647.0946,468.86832,1264.6763,956.9058
1215.7189,271.7634,206.46352,269.99982,-642.0937,468.87085,1269.685,956.9068
1220.7227,271.77045,211.46815,270.008,-637.0928,468.87338,1274.6938,956.9078
1225.7264,271.7775,216.4728,270.01617,-632.09186,468.87592,1279.7026,956.90875
1230.7302,271.78455,221.47743,270.02435,-627.09094,468.87845,1284.7114,956.9097
1235.734,271.7916,226.48207,270.03253,-622.09,468.88098,1289.7202,956.9107
1240.7378,271.79865,231.48671,270.0407,-617.0891,468.8835,1294.729,956.9117
1245.7416,271.8057,236.49135,270.0489,-612.0882,468.88605,1299.7378,956.91266
1250.7454,271.81274,241.49599,270.05707,-607.0873,468.88858,1304.7466,956.91364
1255.7491,271.8198,246.50063,270.06525,-602.08636,468.8911,1309.7554,956.9146
1260.7529,271.82684,251.50526,270.07343,-597.08545,468.89365,1314.7642,956.9156
1265.7567,271.8339,256.50992,270.0816,-592.08453,468.89618,1319.773,956.91656
1270.7605,271.84094,261.51456,270.08978,-587.0836,468.8987,1324.7817,956.91754
1275.7643,271.848,266.5192,270.09796,-582.0827,468.90125,1329.7905,956.9185
1280.7681,271.85504,271.52383,270.10614,-577.0818,468.90378,1334.7993,956.9195
1285.7719,271.8621,276.52847,270.11432,-572.0809,468.9063,1339.8081,956.9205
1290.7756,271.86914,281.5331,270.1225,-567.07996,468.90884,1344.8169,956.92145
1295.7794,271.8762,286.53775,270.13068,-562.07904,468.91138,1349.8257,956.9224
1300.7832,271.88324,291.5424,270.13885,-557.0781,468.9139,1354.8345,956.9234
1305.787,271.8903,296.54703,270.14703,-552.0772,468.91644,1359.8433,956.9244
1310.7908,271.89734,301.55167,270.1552,-547.0763,468.91898,1364.852,956.92535
1315.7946,271.9044,306.5563,270.1634,-542.0754,468.9215,1369.8608,956.92633
1320.7983,271.91144,311.56094,270.17157,-537.07446,468.92404,1374.8696,956.9273
1325.8021,271.9185,316.56558,270.17975,-532.07355,468.92657,1379.8784,956.9283
1330.8059,271.92554,321.57022,270.18793,-527.07263,468.9291,1384.8872,956.92926
1335.8097,271.9326,326.57486,270.1961,-522.0717,468.93164,1389.896,956.93024
1340.8135,271.93964,331.5795,270.20428,-517.0708,468.93417,1394.9048,956.9312
1345.8173,271.9467,336.58414,270.21246,-512.0699,468.9367,1399.9136,956.9322
1350.821,271.95374,341.58878,270.22064,-507.06897,468.93924,1404.9224,956.93317
1355.8248,271.9608,346.5934,270.22882,-502.06805,468.94177,1409.9312,956.93414
1360.8286,271.96783,351.59805,270.237,-497.06714,468.9443,1414.94,956.9351
1365.8324,271.97488,356.6027,270.24518,-492.06622,468.94684,1419.9487,956.9361
1370.8362,271.98193,361.60733,270.25336,-487.0653,468.94937,1424.9575,956.9371
1375.84,271.98898,366.61197,270.26154,-482.0644,468.9519,1429.9663,956.93805
1380.8438,271.99603,371.6166,270.2697,-477.06348,468.95444,1434.9751,956.939
1385.8475,272.00308,376.62125,270.2779,-472.06256,468.95697,1439.9839,956.94
1390.8513,272.01013,381.6259,270.28607,-467.06165,468.9595,1444.9927,956.941
1395.8551,272.01718,386.63052,270.29425,-462.06073,468.96204,1450.0015,956.94196
1400.8589,272.02423,391.63516,270.30243,-457.0598,468.96457,1455.0103,956.94293
1405.8627,272.03128,396.6398,270.3106,-452.0589,468.9671,1460.019,956.9439
1410.8665,272.03833,401.64444,270.3188,-447.05798,468.96964,1465.0278,956.9449
1415.8702,272.04538,406.64908,270.32697,-442.05707,468.97217,1470.0366,956.94586
1420.874,272.05243,411.65372,270.33514,-437.05615,468.9747,1475.0454,956.94684
1425.8778,272.05948,416.65836,270.34332,-432.05524,468.97723,1480.0542,956.9478
1430.8816,272.06653,421.663,270.3515,-427.05432,468.97977,1485.063,956.9488
1435.8854,272.07358,426.66763,270.35968,-422.0534,468.9823,1490.0718,956.94977
