,Time,Energy
1197,11.97,1.2500045443175622e-09
1198,11.98,1.2500045443175622e-09
1199,11.99,1.2500044332952598e-09
1200,12.0,1.2500045443175622e-09
1201,12.01,1.2500044332952598e-09
1202,12.02,1.2500045443175622e-09
1203,12.03,1.2500045443175622e-09
1204,12.04,1.2500045443175622e-09
1205,12.05,1.2500045443175622e-09
1206,12.06,1.2500045443175622e-09
1207,12.07,1.2500045443175622e-09
1208,12.08,1.2500045443175622e-09
1209,12.09,1.2500044332952598e-09
1210,12.1,1.2500045443175622e-09
1211,12.11,1.2500045443175622e-09
1212,12.12,1.2500045443175622e-09
1213,12.13,1.2500045443175622e-09
1214,12.14,1.2500044332952598e-09
1215,12.15,1.2500045443175622e-09
1216,12.16,1.2500045443175622e-09
1217,12.17,1.2500045443175622e-09
1218,12.18,1.2500044332952598e-09
1219,12.19,1.2500045443175622e-09
1220,12.2,1.2500045443175622e-09
1221,12.21,1.2500045443175622e-09
1222,12.22,1.2500045443175622e-09
1223,12.23,1.2500045443175622e-09
1224,12.24,1.2500044332952598e-09
1225,12.25,1.2500045443175622e-09
1226,12.26,1.2500045443175622e-09
1227,12.27,1.2500045443175622e-09
1228,12.28,1.2500045443175622e-09
1229,12.29,1.2500045443175622e-09
1230,12.3,1.2500044332952598e-09
1231,12.31,1.2500044332952598e-09
1232,12.32,1.2500045443175622e-09
1233,12.33,1.2500045443175622e-09
1234,12.34,1.2500045443175622e-09
1235,12.35,1.2500045443175622e-09
1236,12.36,1.2500045443175622e-09
1237,12.37,1.2500045443175622e-09
1238,12.38,1.2500045443175622e-09
1239,12.39,1.2500045443175622e-09
1240,12.4,1.2500045443175622e-09
1241,12.41,1.2500045443175622e-09
1242,12.42,1.2500045443175622e-09
1243,12.43,1.2500045443175622e-09
1244,12.44,1.2500045443175622e-09
1245,12.45,1.2500045443175622e-09
1246,12.46,1.2500045443175622e-09
1247,12.47,1.2500044332952598e-09
1248,12.48,1.2500045443175622e-09
1249,12.49,1.2500045443175622e-09
1250,12.5,1.2500045443175622e-09
1251,12.51,1.2500045443175622e-09
1252,12.52,1.2500045443175622e-09
1253,12.53,1.2500045443175622e-09
1254,12.54,1.2500045443175622e-09
1255,12.55,1.2500045443175622e-09
